layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0.0,conv,0,32,1,False,27.0,0,32.0,32.0,160000,4.770634472447093,2.0815309392726564,0.06504784185227051,3.3151773375054914,0.1035992917970466,1.4819246953948297,0.04631014673108843,12.57552845746805,10,32,0.7081057142634779,30,4,5,9,15,0.125,0.15625,0.28125,0.46875,5000.0,32.0,10000.0,1.2443688327772575,1.5188562320024193,0.0474642572500756,1.8404515115712552,0.057514109736601725,1.2636391900795814,0.03948872468998692,12.358324639282658,10.0,32.0,0.976320882662466,27.0,2.0,2.0,3.0,4.0,0.0625,0.0625,0.09375,0.125,312.5,0,10.0
features.1.conv.0.0,conv,1,32,32,True,32.0,0,32.0,32.0,160000,0.06833769557126673,4.4386087728194585,0.13870652415060808,9.067900818819716,0.2833719005881161,2.262415235635181,0.0707004761135994,2.3065014433170172,10,32,0.9583317880375851,32,12,17,26,31,0.375,0.53125,0.8125,0.96875,5000.0,32.0,10000.0,0.014346136756643599,2.024339727905048,0.06326061649703275,2.965357274171145,0.09266741481784828,1.4768462438990324,0.04615144512184476,4.807245484616737,10.0,32.0,0.9667475743628,32.0,3.0,4.0,7.0,15.0,0.09375,0.125,0.21875,0.46875,312.5,0,10.0
features.1.conv.1,conv,2,16,1,False,16.0,0,32.0,32.0,160000,0.09701641345523332,2.9604170596170576,0.1850260662260661,4.786994636664384,0.299187164791524,1.8401866173136885,0.11501166358210553,,10,16,,16,5,7,11,15,0.3125,0.4375,0.6875,0.9375,10000.0,16.0,10000.0,0.02335816505744124,1.7212935975122423,0.10758084984451514,2.370152999646695,0.14813456247791842,1.3465162243892896,0.0841572640243306,,10.0,16.0,,16.0,2.0,3.0,6.0,9.0,0.125,0.1875,0.375,0.5625,625.0,0,10.0
features.1,block,3,16,1,False,,0,32.0,32.0,160000,0.09661225899681986,2.9317177332777264,0.1832323583298579,4.755106659175753,0.29719416619848454,1.8273426490810285,0.11420891556756428,,10,16,,16,5,7,11,15,0.3125,0.4375,0.6875,0.9375,10000.0,16.0,10000.0,0.023357928340399327,1.7212936002749564,0.10758085001718477,2.3701530030886597,0.14813456269304123,1.3465162255489158,0.08415726409680724,,10.0,16.0,,16.0,2.0,3.0,6.0,9.0,0.125,0.1875,0.375,0.5625,625.0,0,10.0
features.2.conv.0.0,conv,4,96,1,False,16.0,0,32.0,32.0,160000,0.1768383046375646,3.1670480323902597,0.03299008367073187,4.969931398596082,0.051770118735375854,1.9458149914916352,0.0202689061613712,10.92456991627326,10,96,0.7305542490573224,54,5,7,11,15,0.052083333333333336,0.07291666666666667,0.11458333333333333,0.15625,1666.6666666666667,96.0,10000.0,0.04052000075504362,1.7474414127662943,0.018202514716315565,2.414425787575252,0.025150268620575542,1.359130571462865,0.014157610119404843,9.009181716976093,10.0,96.0,0.7808490547507152,56.0,3.0,3.0,6.0,9.0,0.03125,0.03125,0.0625,0.09375,104.16666666666667,0,10.0
features.2.conv.1.0,conv,5,96,96,True,96.0,0,32.0,32.0,160000,0.0011346015270774516,4.043461577867668,0.04211939143612154,11.32572165566556,0.11797626724651626,2.08885861104873,0.021758943865090936,2.1302299305657693,10,96,0.8877679210745226,96,20,34,66,89,0.20833333333333334,0.3541666666666667,0.6875,0.9270833333333334,1666.6666666666667,96.0,10000.0,0.0002582753275312372,1.7964623870169492,0.018713149864759887,2.701250925724151,0.02813803047629324,1.371556028185622,0.014287041960266896,3.731385545860823,10.0,96.0,0.9592569050630978,96.0,3.0,4.0,9.0,25.0,0.03125,0.041666666666666664,0.09375,0.2604166666666667,104.16666666666667,0,10.0
features.2.conv.2,conv,6,24,1,False,24.0,0,32.0,32.0,160000,0.0007242845222706836,4.532610577782516,0.1888587740742715,8.163122621817974,0.3401301092424156,2.381174779697075,0.09921561582071146,2.9588017115269722,10,24,0.9345410673059543,24,10,14,20,24,0.4166666666666667,0.5833333333333334,0.8333333333333334,1.0,6666.666666666667,24.0,10000.0,0.0001419527300085492,2.19539309754982,0.09147471239790916,3.1797470535232906,0.13248946056347044,1.575399405364736,0.06564164189019733,4.801342044460137,10.0,24.0,0.9792247420454124,24.0,3.0,5.0,9.0,16.0,0.125,0.20833333333333334,0.375,0.6666666666666666,416.6666666666667,0,10.0
features.2,block,7,24,1,False,,0,32.0,32.0,160000,0.0007231369247153478,4.5652283020157585,0.19021784591732327,8.204674774355606,0.34186144893148357,2.3946082740455434,0.09977534475189764,2.958894069544555,10,24,0.9361959900645245,24,10,14,20,24,0.4166666666666667,0.5833333333333334,0.8333333333333334,1.0,6666.666666666667,24.0,10000.0,0.00014195129110210615,2.1953930827548738,0.09147471178145307,3.1797470020210876,0.1324894584175453,1.5753993988219357,0.06564164161758065,4.8013413053434695,10.0,24.0,0.9792249498286758,24.0,3.0,5.0,9.0,16.0,0.125,0.20833333333333334,0.375,0.6666666666666666,416.6666666666667,0,10.0
features.3.conv.0.0,conv,8,144,1,False,24.0,0,32.0,32.0,160000,0.0014482479144297114,4.683127015675994,0.032521715386638846,8.109134218243215,0.056313432071133436,2.47185277898658,0.017165644298517916,11.260571945154412,10,144,0.7888011955662794,84,10,13,19,23,0.06944444444444445,0.09027777777777778,0.13194444444444445,0.1597222222222222,1111.111111111111,144.0,10000.0,0.0002825577058291991,2.2621672446761583,0.015709494754695543,3.225052108921433,0.022396195200843284,1.619900626430086,0.011249309905764485,9.47935140186835,10.0,144.0,0.8307641006241447,84.0,3.0,5.0,8.0,16.0,0.020833333333333332,0.034722222222222224,0.05555555555555555,0.1111111111111111,69.44444444444444,0,10.0
features.3.conv.1.0,conv,9,144,144,True,144.0,0,32.0,32.0,160000,7.476270234310391e-06,5.921288013462338,0.04112005564904401,16.779405649227986,0.11652365034186102,2.635384649775584,0.018301282290108224,2.326922994019669,10,144,0.8541520285371921,144,28,47,91,124,0.19444444444444445,0.3263888888888889,0.6319444444444444,0.8611111111111112,1111.111111111111,144.0,10000.0,1.3184752368924516e-06,1.875858418194375,0.01302679457079427,2.838055510378744,0.01970871882207461,1.4133363933690575,0.0098148360650629,3.7100945065006146,10.0,144.0,0.9462381950997361,144.0,3.0,4.0,10.0,31.0,0.020833333333333332,0.027777777777777776,0.06944444444444445,0.2152777777777778,69.44444444444444,0,10.0
