layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,80000,5.258767931564466,2.004692947383918,0.03132332730287372,3.162900749914145,0.049420324217408516,1.4559106592571804,0.022748604050893444,12.977967804997636,10,64,0.8815601168112924,44,4,5,10,18,0.0625,0.078125,0.15625,0.28125,1250.0,64.0,5000.0,1.9262858393218538,1.6858126422993929,0.026340822535928014,1.9829380614983707,0.030983407210912042,1.3641001473839567,0.021314064802874323,7.386128281636178,10.0,64.0,0.9247161970897446,43.0,2.0,2.0,3.0,3.0,0.03125,0.03125,0.046875,0.046875,78.125,0,2.0
features.3,conv,1,64,1,False,64,0,32.0,32.0,80000,3.3478406363080344,3.765564869960016,0.05883695109312525,8.707579762199487,0.13605593378436698,2.052105196386926,0.03206414369354572,2.0655249824151705,10,64,0.9801014335677026,64,13,23,45,61,0.203125,0.359375,0.703125,0.953125,1250.0,64.0,5000.0,1.0959728069734047,2.26242471301024,0.035350386140785,3.2736840368873894,0.05115131307636546,1.585146494485157,0.024767913976330578,3.9799100885356156,10.0,64.0,0.9777375719886026,64.0,3.0,5.0,7.0,17.0,0.046875,0.078125,0.109375,0.265625,78.125,0,2.0
features.7,conv,2,128,1,False,128,0,16.0,16.0,80000,3.4399283611161366,5.8422163593704886,0.04564231530758194,15.770416811377492,0.12320638133888666,2.6663537028362803,0.02083088830340844,1.6726587946735338,10,128,0.9892795441168317,128,26,48,96,123,0.203125,0.375,0.75,0.9609375,625.0,128.0,5000.0,1.0288954004633157,2.3593039151264645,0.018432061836925504,3.5543106584216826,0.027768052018919395,1.6308943518445103,0.012741362123785236,3.618047677333479,10.0,128.0,0.9527488507183336,128.0,3.0,5.0,11.0,39.0,0.0234375,0.0390625,0.0859375,0.3046875,39.0625,0,2.0
features.10,conv,3,128,1,False,128,0,16.0,16.0,80000,2.9912631341132245,5.7414980790950025,0.04485545374292971,17.470541950495896,0.1364886089882492,2.5754306393546806,0.020120551869958442,1.413537985522026,10,128,0.9905684077808101,128,36,61,106,126,0.28125,0.4765625,0.828125,0.984375,625.0,128.0,5000.0,0.8407132650149307,1.9273442484605015,0.015057376941097668,3.0144764067488183,0.023550596927725143,1.4270059430751811,0.011148483930274853,3.026113173492199,10.0,128.0,0.9652194090529932,128.0,3.0,4.0,13.0,47.0,0.0234375,0.03125,0.1015625,0.3671875,39.0625,0,2.0
features.14,conv,4,256,1,False,256,0,8.0,8.0,80000,4.216671686323042,6.176342515796412,0.024126337952329734,17.253522380459223,0.06739657179866884,2.896854466742272,0.011315837760712,1.3937735961575244,10,256,0.9853578032618499,256,37,85,189,246,0.14453125,0.33203125,0.73828125,0.9609375,312.5,256.0,5000.0,1.0320430869317825,1.851046541143261,0.0072306505513408635,2.997160802232238,0.01170765938371968,1.3982676796730782,0.005461983123722962,2.67794898354784,10.0,256.0,0.9617467444789867,256.0,3.0,5.0,21.0,93.0,0.01171875,0.01953125,0.08203125,0.36328125,19.53125,0,2.0
features.17,conv,5,256,1,False,256,0,8.0,8.0,80000,4.05662073725645,6.243804920997312,0.02438986297264575,17.912360507697908,0.06997015823319495,2.9551504705189866,0.011543556525464791,1.299104888154119,10,256,0.989245863111018,256,42,94,198,248,0.1640625,0.3671875,0.7734375,0.96875,312.5,256.0,5000.0,0.7697463706300228,1.7046292221971613,0.006658707899207661,2.792952041428306,0.010909968911829321,1.3310102508424073,0.005199258792353154,2.4257369655421526,10.0,256.0,0.9694178665974381,256.0,3.0,5.0,25.0,111.0,0.01171875,0.01953125,0.09765625,0.43359375,19.53125,0,2.0
features.20,conv,6,256,1,False,256,0,8.0,8.0,80000,4.004742607210908,6.480692648690215,0.02531520565894615,18.761252049023152,0.07328614081649669,3.1309105878254995,0.012230119483693357,1.2787482404095687,10,256,0.992157813245941,256,46,99,202,249,0.1796875,0.38671875,0.7890625,0.97265625,312.5,256.0,5000.0,0.6104765366287053,1.5496732588268927,0.0060534111672925495,2.603947081658427,0.01017166828772823,1.2557957470245564,0.0049054521368146736,2.4077742514972944,10.0,256.0,0.9680181876020325,256.0,3.0,6.0,29.0,118.0,0.01171875,0.0234375,0.11328125,0.4609375,19.53125,0,2.0
features.24,conv,7,512,1,False,512,0,4.0,4.0,80000,4.965511996996649,5.764803310476177,0.011259381465773783,13.51348955798562,0.026393534292940665,3.6863332701533094,0.007199869668268182,1.254435819718057,10,512,0.9783848544414567,512,21,88,325,479,0.041015625,0.171875,0.634765625,0.935546875,156.25,512.0,5000.0,0.633521091696132,1.5490855505936751,0.0030255577160032718,3.036081618120751,0.0059298469103920915,1.2507367744605777,0.002442845262618316,2.003306510567858,10.0,512.0,0.9453656807657729,512.0,4.0,10.0,98.0,309.0,0.0078125,0.01953125,0.19140625,0.603515625,9.765625,0,2.0
features.27,conv,8,512,1,False,512,0,4.0,4.0,80000,4.596465793272911,6.099322093428591,0.011912738463727717,13.553416456049801,0.026471516515722267,4.0442743751935195,0.007898973389049843,1.1938498912819873,10,512,0.9857122988200424,512,17,77,328,484,0.033203125,0.150390625,0.640625,0.9453125,156.25,512.0,5000.0,0.42995488301356133,1.4464567366914958,0.0028251108138505777,2.829140103511391,0.005525664264670685,1.2051743552909613,0.0023538561626776588,1.8493446999216,10.0,512.0,0.9571910238284395,512.0,4.0,11.0,109.0,341.0,0.0078125,0.021484375,0.212890625,0.666015625,9.765625,0,2.0
features.30,conv,9,512,1,False,512,0,4.0,4.0,80000,3.7744337730287802,6.3293051708042825,0.012361924161727114,13.780658030852312,0.02691534771650842,3.8571481862142716,0.007533492551199749,1.1828472452943894,10,512,0.980891421365256,512,15,71,323,483,0.029296875,0.138671875,0.630859375,0.943359375,156.25,512.0,5000.0,0.28295938486338934,1.3844964751557352,0.0027040946780385452,2.6703056568419057,0.005215440736019347,1.1780397835756906,0.0023008589522962707,1.8317854427329001,10.0,512.0,0.9523510111186383,512.0,4.0,12.0,118.0,349.0,0.0078125,0.0234375,0.23046875,0.681640625,9.765625,0,2.0
features.34,conv,10,512,1,False,512,0,2.0,2.0,20000,3.6529936726895054,3.5612418840877136,0.006955550554858816,5.577950507881421,0.0108944345857059,2.767522056412084,0.005405316516429851,1.0623961594855502,10,512,0.9840563322901319,512,4,11,228,460,0.0078125,0.021484375,0.4453125,0.8984375,39.0625,512.0,5000.0,0.2991541430844613,1.577787757981853,0.0030816167148083064,4.210198247523019,0.008223043452193397,1.2576191603996107,0.0024562874226554897,1.3856375687514713,10.0,512.0,0.9376353516662295,512.0,14.0,72.0,276.0,457.0,0.02734375,0.140625,0.5390625,0.892578125,9.765625,0,2.0
features.37,conv,11,512,1,False,512,0,2.0,2.0,20000,1.7861249966687396,3.5870765648405785,0.007006008915704255,5.282280984619539,0.010316955048085037,2.88792529654027,0.005640479094805215,1.122285998585434,10,512,0.9737219551573992,512,4,7,195,445,0.0078125,0.013671875,0.380859375,0.869140625,39.0625,512.0,5000.0,0.11220932185946919,1.6299866618036325,0.0031835676988352197,4.551681914955723,0.008890003740147897,1.2784474876271692,0.002496967749271815,1.5962786219220162,10.0,512.0,0.9101105107211737,512.0,18.0,77.0,254.0,436.0,0.03515625,0.150390625,0.49609375,0.8515625,9.765625,0,2.0
features.40,conv,12,512,1,False,512,0,2.0,2.0,20000,0.857915454686631,3.468425904555129,0.006774269344834236,4.975799440315265,0.009718358281865753,2.701256130083774,0.005275890879069871,1.164499150398597,10,512,0.9672751383543214,512,3,4,173,433,0.005859375,0.0078125,0.337890625,0.845703125,39.0625,512.0,5000.0,0.04411620936854703,1.712888672919114,0.0033454856892951444,5.0538344253200185,0.009870770361953161,1.3110072015956622,0.0025605609406165277,1.7243082049111393,10.0,512.0,0.9065829127899144,512.0,23.0,80.0,243.0,426.0,0.044921875,0.15625,0.474609375,0.83203125,9.765625,0,2.0
