layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,15,1,False,15,0,32.0,32.0,160000,5.684518304403701,1.5225395343793637,0.10150263562529091,2.3051890616812964,0.1536792707787531,1.2422051371821106,0.0828136758121407,,10,15,,15,3,4,8,11,0.2,0.26666666666666666,0.5333333333333333,0.7333333333333333,10666.666666666666,15.0,10000.0,1.9771741416709387,1.341025345534174,0.08940168970227827,1.628367734619917,0.10855784897466113,1.1694965766859842,0.07796643844573228,,10.0,15.0,,15.0,2.0,2.0,3.0,3.0,0.13333333333333333,0.13333333333333333,0.2,0.2,666.6666666666666,0,0.9
features.3,conv,1,48,1,False,48,0,32.0,32.0,160000,4.389193927380563,2.329428943956413,0.04852976966575861,4.7361620811508,0.09867004335730833,1.5587683761288222,0.03247434116935046,2.5009826198663956,10,48,0.9489308339547734,48,7,12,28,43,0.14583333333333334,0.25,0.5833333333333334,0.8958333333333334,3333.3333333333335,48.0,10000.0,1.4539287969227819,1.5829397574047166,0.03297791161259826,2.161650533414231,0.045034386112796476,1.2786347758914982,0.026638224497739546,5.992890854292784,10.0,48.0,0.981452858871999,48.0,2.0,3.0,5.0,10.0,0.041666666666666664,0.0625,0.10416666666666667,0.20833333333333334,208.33333333333334,0,0.9
features.7,conv,2,101,1,False,101,0,16.0,16.0,160000,4.30615134863785,3.935390151170185,0.03896425892247708,10.587193678528973,0.10482369978741557,2.071131883584312,0.020506256273112002,1.824208590722271,10,101,0.9889002106497545,101,18,33,71,96,0.1782178217821782,0.32673267326732675,0.7029702970297029,0.9504950495049505,1584.1584158415842,101.0,10000.0,1.3354987293125415,1.71204557845174,0.016950946321304356,2.544134440962924,0.025189449910524,1.3322061176303448,0.013190159580498463,3.8415253486758068,10.0,101.0,0.9639457088397742,101.0,3.0,4.0,9.0,28.0,0.0297029702970297,0.039603960396039604,0.0891089108910891,0.27722772277227725,99.00990099009901,0,0.9
features.10,conv,3,116,1,False,116,0,16.0,16.0,160000,4.278649018993608,3.8406147710142235,0.03310874802598469,11.793305916917914,0.10166643031825788,2.0243089533455514,0.01745093925297889,1.5100414425795334,10,116,0.9888785859601796,116,26,48,91,113,0.22413793103448276,0.41379310344827586,0.7844827586206896,0.9741379310344828,1379.3103448275863,116.0,10000.0,1.3112542421625446,1.4753284354292777,0.012718348581286877,2.161529099678831,0.018633871548955436,1.2242673679030216,0.010554029033646738,3.2109376367424822,10.0,116.0,0.9631409849001111,116.0,3.0,3.0,9.0,35.0,0.02586206896551724,0.02586206896551724,0.07758620689655173,0.3017241379310345,86.20689655172414,0,0.9
features.14,conv,4,226,1,False,226,0,8.0,8.0,160000,5.03770437697023,5.631643910866437,0.02491877836666565,16.163778272340032,0.07152114279796475,2.6472302006588997,0.011713407967517256,1.4415043417021014,10,226,0.9866274831726166,226,33,73,165,217,0.14601769911504425,0.3230088495575221,0.7300884955752213,0.9601769911504425,707.9646017699115,226.0,10000.0,1.3357472301243356,1.541884914104132,0.006822499619929787,2.4104176478217005,0.010665564813370356,1.2542634856221795,0.005549838431956547,2.663529160451343,10.0,226.0,0.9608305245395254,226.0,2.0,4.0,17.0,80.0,0.008849557522123894,0.017699115044247787,0.0752212389380531,0.35398230088495575,44.24778761061947,0,0.9
features.17,conv,5,238,1,False,238,0,8.0,8.0,160000,5.57161647667865,5.86065071192105,0.02462458282319769,16.70336654908859,0.07018221239112853,2.815524909647568,0.011829936595157848,1.3293027035832194,10,238,0.9904812524028925,238,37,85,183,231,0.15546218487394958,0.35714285714285715,0.7689075630252101,0.9705882352941176,672.2689075630252,238.0,10000.0,1.1859392993594424,1.4467376752876788,0.006078729728099491,2.264163937485931,0.009513293854982903,1.2102129955961287,0.0050849285529249106,2.389972529013529,10.0,238.0,0.9666327738685102,238.0,2.0,4.0,20.0,98.0,0.008403361344537815,0.01680672268907563,0.08403361344537816,0.4117647058823529,42.016806722689076,0,0.9
features.20,conv,6,244,1,False,244,0,8.0,8.0,160000,5.774745740075343,5.245585107162004,0.02149829961951641,16.496361912236704,0.06760804062392092,2.5375277799204765,0.010399704016067527,1.282840198894423,10,244,0.9918703245873686,244,41,93,192,237,0.1680327868852459,0.38114754098360654,0.7868852459016393,0.9713114754098361,655.7377049180328,244.0,10000.0,1.1645484191666848,1.2908508671182146,0.005290372406222191,1.9374745420414146,0.007940469434595962,1.1384589331145734,0.004665815299649891,2.3807236056812173,10.0,244.0,0.963039869953716,244.0,2.0,4.0,20.0,101.0,0.00819672131147541,0.01639344262295082,0.08196721311475409,0.4139344262295082,40.98360655737705,0,0.9
features.24,conv,7,466,1,False,466,0,4.0,4.0,160000,7.660911359630319,5.574034431679297,0.011961447278281754,12.835120402411118,0.027543176829208406,3.537489886749388,0.0075911800144836655,1.2702349874894814,10,466,0.9811607070745121,466,20,77,295,437,0.04291845493562232,0.16523605150214593,0.6330472103004292,0.9377682403433476,343.3476394849785,466.0,10000.0,1.2994853933587769,1.348261102895976,0.0028932641693046692,2.3183160859075955,0.004974927222977672,1.1630626208262211,0.002495842533961848,1.974618556654964,10.0,466.0,0.9484316556950285,466.0,3.0,6.0,69.0,261.0,0.006437768240343348,0.012875536480686695,0.148068669527897,0.5600858369098712,21.459227467811157,0,0.9
features.27,conv,8,481,1,False,481,0,4.0,4.0,160000,6.835852305525808,6.258938532862823,0.013012346222168032,14.298592759489548,0.029726804073782843,4.090700079413879,0.008504573969675425,1.2356111560887126,10,481,0.9868482016341212,481,20,79,312,455,0.04158004158004158,0.16424116424116425,0.6486486486486487,0.9459459459459459,332.64033264033264,481.0,10000.0,0.8478472345982794,1.3622936984708884,0.0028322114313324084,2.424364383275351,0.005040258593088048,1.1689622976024632,0.002430275046990568,1.8379186184097254,10.0,481.0,0.9599383823276747,481.0,3.0,7.0,83.0,302.0,0.006237006237006237,0.014553014553014554,0.17255717255717257,0.6278586278586279,20.79002079002079,0,0.9
features.30,conv,9,489,1,False,489,0,4.0,4.0,160000,4.834005280957678,7.207477563913229,0.014739217922112942,16.907582666868244,0.034575833674577186,4.4385934115096415,0.009076878142146506,1.2294688172598134,10,489,0.9857527483535349,489,24,93,329,465,0.049079754601226995,0.1901840490797546,0.6728016359918201,0.950920245398773,327.19836400817996,489.0,10000.0,0.5001266686836219,1.3883134146307092,0.0028390867374861128,2.572911656082574,0.00526157802879872,1.1802199498527657,0.002413537729760257,1.8047499900630835,10.0,489.0,0.9563297131091925,489.0,3.0,9.0,101.0,326.0,0.006134969325153374,0.018404907975460124,0.2065439672801636,0.6666666666666666,20.449897750511248,0,0.9
