layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,14,1,False,14,0,32.0,32.0,160000,4.18469214999015,1.7497844103051374,0.12498460073608124,2.7083186488764346,0.19345133206260248,1.3418082947169552,0.09584344962263966,,10,14,,14,3,5,8,12,0.21428571428571427,0.35714285714285715,0.5714285714285714,0.8571428571428571,11428.57142857143,14.0,10000.0,1.1793595579021694,1.4910635469067863,0.10650453906477045,1.8149158976787978,0.12963684983419985,1.2472569664583664,0.08908978331845474,,10.0,14.0,,14.0,2.0,2.0,3.0,3.0,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,714.2857142857143,0,10.0
features.3,conv,1,47,1,False,47,0,32.0,32.0,160000,2.5555447098698156,3.751168295015532,0.07981209138330919,7.714330914772366,0.16413470031430566,2.085449280901762,0.04437126129578217,2.3881318406750074,10,47,0.967660174972605,47,10,17,32,44,0.2127659574468085,0.3617021276595745,0.6808510638297872,0.9361702127659575,3404.255319148936,47.0,10000.0,0.6309171113085863,2.2719605773719596,0.048339586752594886,3.0528163136002826,0.06495353858724005,1.6166106013168764,0.034395970240784605,5.8314946009315465,10.0,47.0,0.9929023383798375,47.0,3.0,4.0,6.0,12.0,0.06382978723404255,0.0851063829787234,0.1276595744680851,0.2553191489361702,212.7659574468085,0,10.0
features.7,conv,2,107,1,False,107,0,16.0,16.0,160000,2.0200845126223865,9.293723631401624,0.08685723020001518,20.245463897834675,0.18920994297041752,4.129913292464381,0.038597320490321316,1.7198573585072863,10,107,0.9823305929943602,107,28,47,84,104,0.2616822429906542,0.4392523364485981,0.7850467289719626,0.9719626168224299,1495.3271028037384,107.0,10000.0,0.4148759033801597,3.33684375061376,0.03118545561321271,4.4533090577844545,0.04161971082041546,2.342650363004718,0.021893928626212318,3.678850234706064,10.0,107.0,0.9582215697379503,107.0,4.0,5.0,12.0,37.0,0.037383177570093455,0.04672897196261682,0.11214953271028037,0.34579439252336447,93.45794392523365,0,10.0
features.10,conv,3,121,1,False,121,0,16.0,16.0,160000,1.7850361108981838,12.41243242135041,0.10258208612686288,28.8303649658614,0.23826747905670578,5.2650735141642135,0.04351300424929102,1.4374750400818017,10,121,0.9903903237882372,121,44,68,105,119,0.36363636363636365,0.5619834710743802,0.8677685950413223,0.9834710743801653,1322.314049586777,121.0,10000.0,0.3094307884406339,3.326565074850799,0.027492273345874372,4.694885090124813,0.038800703224172006,2.4105450031952405,0.01992185953053918,3.0009726366281235,10.0,121.0,0.9661990778873514,121.0,4.0,6.0,17.0,55.0,0.03305785123966942,0.049586776859504134,0.14049586776859505,0.45454545454545453,82.64462809917356,0,10.0
features.14,conv,4,238,1,False,238,0,8.0,8.0,160000,2.354582031039971,9.343334429349794,0.03925770768634367,27.904903293636416,0.11724749283040511,3.741081796266131,0.01571883107674845,1.324882232210333,10,238,0.9866069006687376,238,62,112,195,232,0.2605042016806723,0.47058823529411764,0.819327731092437,0.9747899159663865,672.2689075630252,238.0,10000.0,0.3992195725036631,2.7514862363692214,0.011560866539366476,4.586925157665975,0.01927279478010914,1.8477363784314207,0.007763598228703449,2.522819179850008,10.0,238.0,0.9497966409979529,238.0,4.0,8.0,38.0,121.0,0.01680672268907563,0.03361344537815126,0.15966386554621848,0.5084033613445378,42.016806722689076,0,10.0
features.17,conv,5,247,1,False,247,0,8.0,8.0,160000,2.380804145545174,7.466963672261667,0.03023062215490553,24.353945693064897,0.09859897041726678,3.2581762555927214,0.01319099698620535,1.2364201339154348,10,247,0.9878261834056686,247,66,120,206,242,0.26720647773279355,0.48582995951417,0.8340080971659919,0.979757085020243,647.7732793522267,247.0,10000.0,0.307979409684075,2.2630816812879417,0.009162274013311504,4.177054935428255,0.016911153584729777,1.5636317453225683,0.006330492896042787,2.3158411715306713,10.0,247.0,0.9647851068821476,247.0,4.0,9.0,44.0,141.0,0.016194331983805668,0.03643724696356275,0.17813765182186234,0.5708502024291497,40.48582995951417,0,10.0
features.20,conv,6,249,1,False,249,0,8.0,8.0,160000,2.3775216968241555,6.848398704470765,0.02750360925490267,23.203098949846776,0.09318513634476618,3.070710162832719,0.012332169328645457,1.1914972595250612,10,249,0.988524822054237,249,69,124,210,244,0.27710843373493976,0.4979919678714859,0.8433734939759037,0.9799196787148594,642.570281124498,249.0,10000.0,0.2633594911711282,1.8659976681821853,0.007493966538884278,3.5673158862281036,0.014326569824209252,1.3870236215507747,0.005570375990163754,2.3135774585994757,10.0,249.0,0.9630610797822081,249.0,4.0,9.0,46.0,143.0,0.01606425702811245,0.03614457831325301,0.18473895582329317,0.5742971887550201,40.16064257028113,0,10.0
features.24,conv,7,456,1,False,456,0,4.0,4.0,160000,3.1732054895369832,5.661498672732909,0.012415567264765151,14.074492838421646,0.03086511587373168,3.6895362333070456,0.008091088230936504,1.1550454311267064,10,456,0.9745756259826595,456,32,119,323,435,0.07017543859649122,0.26096491228070173,0.7083333333333334,0.9539473684210527,350.87719298245617,456.0,10000.0,0.2741536104420487,1.9211246657849297,0.004212992688124846,4.750937934392403,0.010418723540334218,1.397499446108043,0.003064691767780796,1.8963508378964178,10.0,456.0,0.9451131630002035,456.0,8.0,29.0,148.0,341.0,0.017543859649122806,0.06359649122807018,0.32456140350877194,0.7478070175438597,21.92982456140351,0,10.0
features.27,conv,8,376,1,False,376,0,4.0,4.0,160000,2.946646379841896,6.087123090901066,0.01618915715665177,13.940780536625528,0.037076543980387046,3.912210411731889,0.010404814924818854,1.0863222548038796,10,376,0.983877434898001,376,24,96,275,363,0.06382978723404255,0.2553191489361702,0.7313829787234043,0.9654255319148937,425.531914893617,376.0,10000.0,0.18471489484742967,1.908416609871222,0.005075576090083037,4.879436865288309,0.012977225705554013,1.390336289586134,0.003697702897835463,1.7200392277631997,10.0,376.0,0.9606481019853201,376.0,9.0,33.0,152.0,311.0,0.023936170212765957,0.08776595744680851,0.40425531914893614,0.8271276595744681,26.595744680851062,0,10.0
features.30,conv,9,261,1,False,261,0,4.0,4.0,160000,2.5281813582519943,6.313816625216554,0.024190868295848867,13.392232496439608,0.05131123561854256,3.7170449886542247,0.014241551680667527,1.087459506181895,10,261,0.9753094293828528,261,16,66,194,253,0.06130268199233716,0.25287356321839083,0.7432950191570882,0.9693486590038314,613.0268199233717,261.0,10000.0,0.13282350607324564,1.7220804518779822,0.006598009394168514,4.13746749379164,0.01585236587659632,1.3172657851139529,0.005046995345264187,1.6643237451497201,10.0,261.0,0.9602253555291789,261.0,8.0,29.0,120.0,225.0,0.03065134099616858,0.1111111111111111,0.45977011494252873,0.8620689655172413,38.31417624521073,0,10.0
