layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,102400,177.6784312265023,4.585258379257025,0.07164466217589102,7.032544915247426,0.10988351430074103,2.5639365025704643,0.040061507852663505,7.32582342306884,10,64,0.5258005717051308,63,6,9,19,31,0.09375,0.140625,0.296875,0.484375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.09375,0.140625,0.296875,0.484375,1.0,6400.0,43.55470362582966,2.6744960056583458,0.04178900008841165,2.8283329573986276,0.044192702459353556,2.0910227355059754,0.032672230242280866,7.867865138955488,10.0,64.0,0.9735225324882393,53.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,100.0,True
relu,act,1,64,1,False,,0,112.0,112.0,102400,2.787505964725316,8.504568889790535,0.13288388890297712,16.80051090301541,0.2625079828596158,3.5194256356582425,0.05499102555716004,4.19976363334468,10,64,0.1996104222514692,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.5085426899601697,3.108654123939153,0.04857272068654927,3.968996601200378,0.06201557189375591,2.2208998458984723,0.03470156009216363,5.268908069569062,10.0,64.0,0.36272359790435027,63.0,3.0,4.0,10.0,26.0,0.046875,0.0625,0.15625,0.40625,100.0,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,102400,3.752061292050536,4.547816312319933,0.07105962987999895,7.355723042148237,0.1149331725335662,2.568912019415223,0.04013925030336286,10.090741285386219,10,64,0.39518394488756337,59,8,11,18,32,0.125,0.171875,0.28125,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.125,0.171875,0.28125,0.5,1.0,6400.0,0.7155209725905606,2.601121313129919,0.04064252051765498,3.600410619022852,0.056256415922232066,1.9223037875189832,0.030035996679984113,11.396006994569404,10.0,64.0,0.45375080987831207,59.0,3.0,5.0,10.0,16.0,0.046875,0.078125,0.15625,0.25,100.0,True
layer1.0.relu,act,3,64,1,False,,0,56.0,56.0,102400,0.6081282434979611,5.246266457204488,0.08197291339382012,11.530435622382244,0.18016305659972257,2.727984952204506,0.04262476487819541,3.8803753802950745,10,64,0.1530887766496558,59,18,27,45,56,0.28125,0.421875,0.703125,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.12960156643808832,2.7134502844174153,0.042397660694022114,4.279365507818716,0.06686508605966744,1.9069861061948925,0.029796657909295195,7.818224361446485,10.0,64.0,0.24086282857633312,59.0,5.0,8.0,19.0,42.0,0.078125,0.125,0.296875,0.65625,100.0,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,102400,2.103752961048732,4.796568762522474,0.07494638691441366,9.067673337978329,0.1416823959059114,2.44351654729557,0.03817994605149328,7.618512044672718,10,64,0.3162029096551707,61,11,15,25,45,0.171875,0.234375,0.390625,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.171875,0.234375,0.390625,0.703125,1.0,6400.0,0.4438268383834268,2.0994865365770696,0.03280447713401671,3.10833447715169,0.048567726205495154,1.5381724533108752,0.024033944582982424,9.352482819647452,10.0,64.0,0.42972724508539506,61.0,3.0,5.0,10.0,19.0,0.046875,0.078125,0.15625,0.296875,100.0,True
layer1.0.relu,act,5,64,1,False,,1,56.0,56.0,102400,0.9547986445310284,5.383794181233821,0.08412178408177845,12.586069360159456,0.1966573337524915,2.5038566034928538,0.03912275942957584,7.666910433623363,10,64,0.13682942915856078,60,17,24,42,56,0.265625,0.375,0.65625,0.875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.2005377077312972,2.2264513464829148,0.03478830228879554,3.67509441672305,0.057423350261297655,1.5771248634194754,0.024642575990929304,7.582174764193894,10.0,64.0,0.18083370579163727,60.0,4.0,7.0,17.0,39.0,0.0625,0.109375,0.265625,0.609375,100.0,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,102400,1.6101536735760482,1.7412952618024347,0.00680193461641576,3.3424233223535698,0.013056341102943632,1.326783111477174,0.005182746529207711,11.775665233215319,10,256,0.7555377400684666,143,6,10,18,29,0.0234375,0.0390625,0.0703125,0.11328125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.09375,0.15625,0.28125,0.453125,0.25,6400.0,0.4524529389374885,1.256466112478135,0.004908070751867715,1.6700477736372894,0.006523624115770662,1.1244107622499824,0.004392229540038994,10.867597198392321,10.0,256.0,0.7379134699775676,141.0,2.0,2.0,7.0,15.0,0.0078125,0.0078125,0.02734375,0.05859375,25.0,False
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,102400,10.465218762729823,4.9552773163062875,0.019356552016821436,7.929237836366225,0.030973585298305566,2.8650753208115547,0.011191700471920136,12.078034688917043,10,256,0.729926632552621,144,8,11,23,40,0.03125,0.04296875,0.08984375,0.15625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.125,0.171875,0.359375,0.625,0.25,6400.0,2.774557945776763,3.8128563126933095,0.01489396997145824,4.856972506701884,0.018972548854304234,2.477564872748607,0.009677987784174245,10.978554076042858,10.0,256.0,0.7275369708585979,146.0,4.0,5.0,9.0,19.0,0.015625,0.01953125,0.03515625,0.07421875,25.0,False
layer1.0.relu,act,8,256,1,False,,2,56.0,56.0,102400,4.2683829142747385,22.83363566384689,0.08919388931190192,41.905537148930385,0.16369350448800932,8.928100857935576,0.03487539397631084,5.283476157135155,10,256,0.17754013799348578,230,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.7003353429071257,7.987230520583136,0.031200119221027875,13.00562084738272,0.05080320643508875,4.215848393556589,0.016468157787330427,5.824647880511155,10.0,256.0,0.2635609385713291,230.0,12.0,19.0,49.0,125.0,0.046875,0.07421875,0.19140625,0.48828125,25.0,False
layer1.0,block,9,256,1,False,,0,56.0,56.0,102400,4.291039402095534,22.81360932214388,0.08911566141462453,41.90165551659909,0.1636783418617152,8.931172639820222,0.03488739312429774,4.853581488609087,10,256,0.19551139162038944,230,46,76,151,209,0.1796875,0.296875,0.58984375,0.81640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.7003353429071257,7.987230520583136,0.031200119221027875,13.00562084738272,0.05080320643508875,4.215848393556589,0.016468157787330427,5.824647880511155,10.0,256.0,0.2635609385713291,230.0,12.0,19.0,49.0,125.0,0.046875,0.07421875,0.19140625,0.48828125,25.0,False
layer1.1.conv1,conv,10,64,1,False,64.0,0,56.0,56.0,102400,1.6896839844050082,6.932112331305183,0.10831425517664349,10.881948609944317,0.17003044703037995,3.532101184563763,0.055189081008808795,8.558914345450184,10,64,0.31054218546468937,60,10,15,27,45,0.15625,0.234375,0.421875,0.703125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.15625,0.234375,0.421875,0.703125,1.0,6400.0,0.215429119443315,2.6999273126458254,0.04218636426009102,4.7124051690845326,0.07363133076694582,1.7331849295829194,0.027081014524733115,9.082298048220741,10.0,64.0,0.34349240690849503,60.0,5.0,8.0,17.0,32.0,0.078125,0.125,0.265625,0.5,100.0,True
layer1.1.relu,act,11,64,1,False,,0,56.0,56.0,102400,0.6094172886289132,14.216329708259227,0.22213015169155043,24.146769136753,0.37729326776176564,5.918166156102221,0.0924713461890972,5.153078110848022,10,64,0.14013756965075286,60,27,37,52,59,0.421875,0.578125,0.8125,0.921875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.06614172733287907,6.2330888213841815,0.09739201283412784,10.041825615541692,0.15690352524283893,3.499953076834055,0.05468676682553211,7.556298689226187,10.0,64.0,0.20463311361960645,60.0,10.0,16.0,33.0,53.0,0.15625,0.25,0.515625,0.828125,100.0,True
layer1.1.conv2,conv,12,64,1,False,64.0,0,56.0,56.0,102400,0.8742402880313249,19.270403331780585,0.30110005205907164,27.378239787416295,0.4277849966783796,9.546374361233728,0.149162099394277,2.648355467056002,10,64,0.9462870794026215,64,25,33,49,61,0.390625,0.515625,0.765625,0.953125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.390625,0.515625,0.765625,0.953125,1.0,6400.0,0.09292727095987918,4.666398412733137,0.07291247519895526,7.0084754346043345,0.10950742866569273,3.035107975183081,0.04742356211223564,4.564865994676411,10.0,64.0,0.972733412500632,64.0,7.0,10.0,18.0,34.0,0.109375,0.15625,0.28125,0.53125,100.0,True
layer1.1.relu,act,13,64,1,False,,1,56.0,56.0,102400,0.8445069208475326,24.283074795652553,0.37942304368207114,35.19949391591921,0.5499920924362377,10.020399933764303,0.15656874896506723,1.7445581631756375,10,64,0.9665232581272516,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.08713440563399318,4.7270527556268505,0.07386019930666954,7.941545873167756,0.1240866542682462,2.8927446670898176,0.0451991354232784,2.665338457038048,10.0,64.0,0.9877226879078692,64.0,8.0,13.0,31.0,55.0,0.125,0.203125,0.484375,0.859375,100.0,True
layer1.1.conv3,conv,14,256,1,False,64.0,0,56.0,56.0,102400,0.38143319394184855,11.73265725352002,0.04583069239656258,19.519116351874246,0.07624654824950877,4.477574558043734,0.017490525617358334,11.806263304070875,10,256,0.8000794428436295,147,19,24,39,56,0.07421875,0.09375,0.15234375,0.21875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.296875,0.375,0.609375,0.875,0.25,6400.0,0.049498796201902874,2.665487731712275,0.010412061452001074,4.460379710030118,0.017423358242305148,1.7601016215679262,0.0068753969592497115,11.423548539323722,10.0,256.0,0.8552748468534793,142.0,5.0,8.0,17.0,37.0,0.01953125,0.03125,0.06640625,0.14453125,25.0,False
layer1.1.relu,act,15,256,1,False,,2,56.0,56.0,102400,5.322036997353738,34.84110767257442,0.13609807684599382,60.78478858935546,0.23744058042716976,14.248766762842926,0.05565924516735518,2.8604980620995932,10,256,0.18957434358528225,248,65,103,182,231,0.25390625,0.40234375,0.7109375,0.90234375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.6889223398676562,9.248215859894747,0.03612584320271386,15.557591755483472,0.06077184279485731,4.627985177127334,0.018078067098153648,3.4155211352128156,10.0,256.0,0.3340071742122346,248.0,15.0,24.0,62.0,156.0,0.05859375,0.09375,0.2421875,0.609375,25.0,False
layer1.1,block,16,256,1,False,,0,56.0,56.0,102400,5.302390694181674,34.837274539070364,0.1360831036682436,60.79335133120607,0.2374740286375237,14.230642764925696,0.055588448300491,2.6239887775777104,10,256,0.21432835544833329,248,65,103,182,231,0.25390625,0.40234375,0.7109375,0.90234375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.6889223398676562,9.248215859894747,0.03612584320271386,15.557591755483472,0.06077184279485731,4.627985177127334,0.018078067098153648,3.4155211352128156,10.0,256.0,0.3340071742122346,248.0,15.0,24.0,62.0,156.0,0.05859375,0.09375,0.2421875,0.609375,25.0,False
layer1.2.conv1,conv,17,64,1,False,64.0,0,56.0,56.0,102400,1.3340437543331447,10.461720687651749,0.16346438574455857,14.90894553382008,0.23295227396593876,5.7535040760438205,0.0898985011881847,3.2676192233072916,10,64,0.9762496897557,64,13,19,34,54,0.203125,0.296875,0.53125,0.84375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.203125,0.296875,0.53125,0.84375,1.0,6400.0,0.056830276554668296,4.51013491450141,0.07047085803908452,7.797548309908729,0.12183669234232389,2.4746543891886588,0.03866647483107279,3.507010753411417,10.0,64.0,0.969704821807247,64.0,8.0,13.0,26.0,47.0,0.125,0.203125,0.40625,0.734375,100.0,True
layer1.2.relu,act,18,64,1,False,,0,56.0,56.0,102400,0.7057746801121038,18.24536242840888,0.2850837879438887,29.50648222309885,0.4610387847359195,8.53618648921698,0.13337791389401532,1.4542523531312954,10,64,0.9619786653848755,64,34,44,58,64,0.53125,0.6875,0.90625,1.0,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.021561900634260937,8.139506565012123,0.12717979007831443,12.934101836206894,0.20209534119073272,4.883108752858434,0.07629857426341304,2.28905415844002,10.0,64.0,0.9914433238243504,64.0,13.0,20.0,43.0,60.0,0.203125,0.3125,0.671875,0.9375,100.0,True
layer1.2.conv2,conv,19,64,1,False,64.0,0,56.0,56.0,102400,1.2735069202108973,21.362669277313746,0.3337917074580273,28.720770078736447,0.448762032480257,11.394439956709157,0.17803812432358057,2.523838653755703,10,64,0.9799751041606394,64,25,33,51,62,0.390625,0.515625,0.796875,0.96875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,0.390625,0.515625,0.796875,0.96875,1.0,6400.0,0.013563467807534278,4.200987591465379,0.06564043111664655,6.772150095391271,0.1058148452404886,2.430587517335719,0.03797792995837061,3.473541185318915,10.0,64.0,0.9392533524925148,64.0,6.0,10.0,24.0,44.0,0.09375,0.15625,0.375,0.6875,100.0,True
layer1.2.relu,act,20,64,1,False,,1,56.0,56.0,102400,0.939738689625418,34.28531472313312,0.535708042548955,44.81301573760166,0.7002033709000259,15.563066392265913,0.2431729123791549,1.2121354919368992,10,64,0.9939826235552943,64,44,53,62,64,0.6875,0.828125,0.96875,1.0,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],1600.0,True,,,,,,6400.0,0.013598240764711264,4.328546066410644,0.06763353228766632,9.063425849267642,0.1416160288948069,2.2663057699375364,0.035411027655274006,2.2946509546626914,10.0,64.0,0.9819635009012472,64.0,11.0,19.0,40.0,59.0,0.171875,0.296875,0.625,0.921875,100.0,True
layer1.2.conv3,conv,21,256,1,False,64.0,0,56.0,56.0,102400,0.28489162213693614,17.139087914371586,0.06694956216551401,26.19007889690733,0.10230499569104426,7.337178206967617,0.028660852370967254,11.165058681416324,10,256,0.8250192066170359,157,25,32,47,60,0.09765625,0.125,0.18359375,0.234375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,0.390625,0.5,0.734375,0.9375,0.25,6400.0,0.007737868673909793,2.9016818599867604,0.011334694765573283,5.560013610448804,0.02171880316581564,1.7788656653296326,0.0069486940051938775,11.359717172989887,10.0,256.0,0.8854666834679165,153.0,6.0,11.0,22.0,39.0,0.0234375,0.04296875,0.0859375,0.15234375,25.0,False
layer1.2.relu,act,22,256,1,False,,2,56.0,56.0,102400,6.311812297462572,49.03271547598208,0.191534044828055,83.47074631372651,0.32605760278799417,17.863991382735474,0.06978121633881045,1.8601443328473621,10,256,0.9115102522933378,256,89,130,200,240,0.34765625,0.5078125,0.78125,0.9375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.6812724992775282,9.839283949227093,0.038434702926668333,16.954629815866806,0.06622902271822971,4.9459811904155195,0.019320239025060623,2.5824495299586285,10.0,256.0,0.9909236346440303,256.0,16.0,27.0,74.0,178.0,0.0625,0.10546875,0.2890625,0.6953125,25.0,False
layer1.2,block,23,256,1,False,,0,56.0,56.0,102400,6.320340125779049,49.024840137697886,0.19150328178788237,83.47891672811632,0.32608951846920436,17.872434228358834,0.0698141962045267,1.8598209192322557,10,256,0.9116349834591498,256,89,130,200,240,0.34765625,0.5078125,0.78125,0.9375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],400.0,True,,,,,,6400.0,0.6812724992775282,9.839283949227093,0.038434702926668333,16.954629815866806,0.06622902271822971,4.9459811904155195,0.019320239025060623,2.5824495299586285,10.0,256.0,0.9909236346440303,256.0,16.0,27.0,74.0,178.0,0.0625,0.10546875,0.2890625,0.6953125,25.0,False
layer2.0.conv1,conv,24,128,1,False,128.0,0,56.0,56.0,102400,3.470498996865664,15.567989889564359,0.12162492101222155,25.042825464518224,0.19564707394154862,6.431857468056584,0.05024888646919206,3.543272399039711,10,128,0.9487615271026253,128,24,32,56,93,0.1875,0.25,0.4375,0.7265625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.1875,0.25,0.4375,0.7265625,1.0,6400.0,0.15032383384355197,6.291822635173697,0.04915486433729451,11.288209073705575,0.0881891333883248,3.0205678403202576,0.023598186252502013,3.87639415690863,10.0,128.0,0.9497443636840139,128.0,12.0,18.0,37.0,70.0,0.09375,0.140625,0.2890625,0.546875,50.0,True
layer2.0.relu,act,25,128,1,False,,0,56.0,56.0,102400,1.5432678768278318,34.72434273613038,0.2712839276260186,58.72907959034628,0.4588209342995803,12.460342835448499,0.0973464284019414,1.4372567056607064,10,128,0.975010689177438,128,66,88,116,127,0.515625,0.6875,0.90625,0.9921875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,,,,,,6400.0,0.052856089382230964,7.581459444553818,0.059230151910576706,15.098394843538541,0.11795620971514485,3.5195352426987414,0.027496369083583917,2.3213199003913774,10.0,128.0,0.9869963118779262,128.0,18.0,30.0,69.0,114.0,0.140625,0.234375,0.5390625,0.890625,50.0,True
layer2.0.conv2,conv,26,128,1,False,128.0,0,28.0,28.0,102400,4.22017238946468,30.025803449064227,0.23457658944581428,46.77368152485838,0.3654193869129561,11.850982893828904,0.09258580385803832,2.313844678537159,10,128,0.936431835592086,128,44,59,94,122,0.34375,0.4609375,0.734375,0.953125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.34375,0.4609375,0.734375,0.953125,1.0,6400.0,0.22483865383967183,5.973576779595009,0.04666856859058601,10.267122744308557,0.0802118964399106,2.97171989325809,0.023216561666078828,3.338357440184326,10.0,128.0,0.9799098362711719,128.0,10.0,15.0,33.0,75.0,0.078125,0.1171875,0.2578125,0.5859375,50.0,True
layer2.0.relu,act,27,128,1,False,,1,28.0,28.0,102400,2.159056400966369,50.61452991366368,0.3954260149504975,74.7820449817446,0.5842347264198797,17.541301160771827,0.1370414153185299,1.3043767129695245,10,128,0.9636307872019827,128,75,95,119,127,0.5859375,0.7421875,0.9296875,0.9921875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,,,,,,6400.0,0.0987540487856485,7.520391519340909,0.05875305874485085,14.396982676397172,0.11247642715935291,3.8229290644904905,0.029866633316331957,2.2973102444892883,10.0,128.0,0.9982302334008935,128.0,16.0,26.0,65.0,115.0,0.125,0.203125,0.5078125,0.8984375,50.0,True
layer2.0.conv3,conv,28,512,1,False,128.0,0,28.0,28.0,102400,1.3232764730543043,26.227533039657903,0.05122565046808184,41.98249828454016,0.0819970669619925,8.4688814397061,0.016540784061925978,11.838134880279782,10,512,0.7103328042358248,282,39,52,82,115,0.076171875,0.1015625,0.16015625,0.224609375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,0.3046875,0.40625,0.640625,0.8984375,0.25,6400.0,0.09965576174159527,5.822581877693033,0.011372230229869206,10.204358295495972,0.01993038729589057,3.1940099945408744,0.006238300770587645,11.44528360053522,10.0,512.0,0.7163673351856521,284.0,11.0,16.0,32.0,68.0,0.021484375,0.03125,0.0625,0.1328125,12.5,False
layer2.0.downsample.0,conv,29,512,1,False,256.0,0,28.0,28.0,102400,6.633546024033525,12.512299958113772,0.02443808585569096,21.767691709234516,0.04251502286959866,5.655660258919537,0.01104621144320222,9.079444112843197,10,512,0.5632262743035752,348,22,33,64,128,0.04296875,0.064453125,0.125,0.25,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,0.0859375,0.12890625,0.25,0.5,0.5,6400.0,1.7976239019664952,5.1042685201538935,0.009969274453425573,7.6809698482347795,0.015001894234833554,3.09122003260659,0.006037539126184746,9.03713593235137,10.0,512.0,0.5864931548393709,349.0,7.0,10.0,21.0,49.0,0.013671875,0.01953125,0.041015625,0.095703125,12.5,False
layer2.0.relu,act,30,512,1,False,,2,28.0,28.0,102400,11.875490823895802,34.50714482424621,0.06739676723485588,77.58837898946435,0.15153980271379755,11.298203560762548,0.022066803829614352,4.882863552914618,10,512,0.1824796136358604,452,102,172,319,413,0.19921875,0.3359375,0.623046875,0.806640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,,,,,,6400.0,2.1493104955181312,8.202223201065413,0.016019967189580885,15.043983596755622,0.029382780462413324,4.103017615237626,0.008013706279760988,5.815348144349994,10.0,512.0,0.21280654405459865,450.0,15.0,27.0,78.0,241.0,0.029296875,0.052734375,0.15234375,0.470703125,12.5,False
layer2.0,block,31,512,1,False,,0,28.0,28.0,102400,11.822034815944964,34.51192953435603,0.06740611237178912,77.5702266246033,0.1515043488761783,11.290989631506926,0.022052714124036966,5.15247375938428,10,512,0.17821589140000482,452,101,172,319,413,0.197265625,0.3359375,0.623046875,0.806640625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,,,,,,6400.0,2.1493104955181312,8.202223201065413,0.016019967189580885,15.043983596755622,0.029382780462413324,4.103017615237626,0.008013706279760988,5.815348144349994,10.0,512.0,0.21280654405459865,450.0,15.0,27.0,78.0,241.0,0.029296875,0.052734375,0.15234375,0.470703125,12.5,False
layer2.1.conv1,conv,32,128,1,False,128.0,0,28.0,28.0,102400,5.722833477388614,4.796998577334007,0.03747655138542193,8.13947407197872,0.06358964118733375,2.815134138120251,0.02199323545406446,3.748131418041171,10,128,0.9527953435013499,128,9,13,28,64,0.0703125,0.1015625,0.21875,0.5,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.0703125,0.1015625,0.21875,0.5,1.0,6400.0,2.3706924166931045,3.3121879273818466,0.025876468182670677,4.760782094250078,0.03719361011132873,2.266760775296284,0.01770906855700222,4.606876715351066,10.0,128.0,0.967426590797493,128.0,5.0,6.0,11.0,26.0,0.0390625,0.046875,0.0859375,0.203125,50.0,True
layer2.1.relu,act,33,128,1,False,,0,28.0,28.0,102400,0.8573371308378489,10.421372330667126,0.08141697133333692,19.66712867610692,0.1536494427820853,5.382954893353568,0.04205433510432475,2.6407841959551055,10,128,0.819665760305166,128,24,40,76,107,0.1875,0.3125,0.59375,0.8359375,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,,,,,,6400.0,0.2971472647891556,5.561445252598627,0.043448791035926776,8.70059000847181,0.06797335944118602,3.5148467106701538,0.027459739927110576,3.06877754017116,10.0,128.0,0.894182271101896,128.0,8.0,13.0,35.0,82.0,0.0625,0.1015625,0.2734375,0.640625,50.0,True
layer2.1.conv2,conv,34,128,1,False,128.0,0,28.0,28.0,102400,2.8739043361900167,17.902312533644228,0.13986181666909553,24.282854415592293,0.1897098001218148,10.153818438329045,0.07932670654944567,3.7526560167480043,10,128,0.9764248011229378,128,21,27,46,86,0.1640625,0.2109375,0.359375,0.671875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,0.1640625,0.2109375,0.359375,0.671875,1.0,6400.0,0.42267822129379107,4.725719316096998,0.0369196821570078,7.311390154059873,0.057120235578592755,2.9992202610460974,0.023431408289422636,4.712612376261355,10.0,128.0,0.9534799350992309,128.0,7.0,10.0,21.0,45.0,0.0546875,0.078125,0.1640625,0.3515625,50.0,True
layer2.1.relu,act,35,128,1,False,,1,28.0,28.0,102400,1.1787830882890584,33.44004446865275,0.2612503474113496,49.763845932563335,0.38878004634815105,16.086611290781153,0.12567665070922776,1.973649942678708,10,128,0.9713812886203843,128,48,68,105,124,0.375,0.53125,0.8203125,0.96875,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],800.0,True,,,,,,6400.0,0.12731473358106282,9.425300361812157,0.07363515907665748,18.00627622282642,0.1406740329908314,4.590995463606838,0.03586715205942842,2.4009958482147096,10.0,128.0,0.963934209838741,128.0,21.0,35.0,72.0,113.0,0.1640625,0.2734375,0.5625,0.8828125,50.0,True
layer2.1.conv3,conv,36,512,1,False,128.0,0,28.0,28.0,102400,0.8726367578650468,18.11113946910546,0.0353733192755966,23.459537726120256,0.045819409621328626,10.37582172636803,0.02026527680931256,9.214418545424284,10,512,0.8588913231126755,305,19,24,42,77,0.037109375,0.046875,0.08203125,0.150390625,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,0.1484375,0.1875,0.328125,0.6015625,0.25,6400.0,0.10499562515343373,3.971830329889973,0.007757481113066353,7.023873265724964,0.01371850247211907,2.3475621924872407,0.004585082407201642,9.75918281198847,10.0,512.0,0.8765337046587034,283.0,8.0,14.0,30.0,57.0,0.015625,0.02734375,0.05859375,0.111328125,12.5,False
layer2.1.relu,act,37,512,1,False,,2,28.0,28.0,102400,12.269596115473817,60.737087533074885,0.11862712408803688,127.75253778648306,0.24951667536422473,16.008776479903954,0.03126714156231241,2.0607531916891846,10,512,0.21419234963126677,506,156,246,409,488,0.3046875,0.48046875,0.798828125,0.953125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,,,,,,6400.0,1.2136581271617914,13.155617716791612,0.025694565853108618,27.978767404305074,0.05464603008653335,5.012138016961365,0.009789332064377666,2.641418294762013,10.0,512.0,0.5112684804078207,506.0,32.0,58.0,157.0,362.0,0.0625,0.11328125,0.306640625,0.70703125,12.5,False
layer2.1,block,38,512,1,False,,0,28.0,28.0,102400,12.272615187667611,60.94485152920816,0.11903291314298468,127.86932883991541,0.2497447828904598,16.120496174528743,0.03148534409087645,1.8835414519716007,10,512,0.2766431925358064,506,156,246,409,488,0.3046875,0.48046875,0.798828125,0.953125,resnet50,ResNet50_Weights.IMAGENET1K_V1,imagenet_val[6400],200.0,True,,,,,,6400.0,1.2136581271617914,13.155617716791612,0.025694565853108618,27.978767404305074,0.05464603008653335,5.012138016961365,0.009789332064377666,2.641418294762013,10.0,512.0,0.5112684804078207,506.0,32.0,58.0,157.0,362.0,0.0625,0.11328125,0.306640625,0.70703125,12.5,False
