model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:efficientnet_b0.ra_in1k_random,conv_stem,0,3,32,9,27,27,307200,11377.777777777777,0.6525416017729496,12.333147901558451,0.07300234556690996,27,0,12.333147901558451,True,0.5185185185185185,True,0.037037037037037035,True,0.07407407407407407,0.5555555555555556,0.07407407407407407,0.07407407407407407,0.5925925925925926,True,0.037037037037037035,True,0.1111111111111111,0.6666666666666666,0.14814814814814814,0.14814814814814814,0.7777777777777778,True,0.037037037037037035,True,0.25925925925925924,0.8518518518518519,0.25925925925925924,0.25925925925925924,0.9259259259259259,True,0.07407407407407407,True,0.4444444444444444,0.9629629629629629,0.48148148148148145,0.48148148148148145,-0.09706959706959707,0.0231990231990232
timm:efficientnet_b0.ra_in1k_random,blocks.0.0.conv_pw,3,32,16,1,32,16,307200,9600.0,0.7497286072321534,6.324996327261109,0.28612182052964513,16,0,6.324996327261109,True,0.9375,True,0.0625,True,0.3125,0.6875,0.3125,0.375,1.0,True,0.0625,True,0.4375,0.8125,0.5625,0.5,1.0,True,0.1875,True,0.6875,0.9375,1.0,0.75,1.0,True,0.5625,True,0.9375,1.0,1.0,1.0,-0.023529411764705882,-0.10117302052785922
timm:efficientnet_b0.ra_in1k_random,blocks.1.0.conv_pw,4,16,96,1,16,16,307200,19200.0,0.9264562564333931,1.9529200588723594,0.299141739782015,16,0,1.9529200588723594,True,0.5,True,0.125,True,0.3125,0.8125,0.3125,0.3125,0.625,True,0.1875,True,0.4375,0.9375,0.4375,0.4375,0.8125,True,0.5,True,0.625,1.0,0.6875,0.6875,1.0,True,0.8125,True,0.875,1.0,0.9375,0.9375,0.032352941176470584,0.02058823529411765
timm:efficientnet_b0.ra_in1k_random,blocks.1.0.conv_pwl,7,96,24,1,96,24,307200,3200.0,0.8681197451234913,2.9071979378171418,0.2853480742405399,24,0,2.9071979378171418,True,0.75,True,0.08333333333333333,True,0.2916666666666667,0.7916666666666666,0.375,0.2916666666666667,0.875,True,0.08333333333333333,True,0.4166666666666667,0.875,0.75,0.4583333333333333,0.9583333333333334,True,0.3333333333333333,True,0.75,1.0,1.0,0.7916666666666666,1.0,True,0.8333333333333334,True,0.9583333333333334,1.0,1.0,1.0,-0.3060869565217391,-0.0578540423223006
timm:efficientnet_b0.ra_in1k_random,blocks.1.1.conv_pw,8,24,144,1,24,24,307200,12800.0,0.9173719448348479,2.1637781646438716,0.24460473869936727,24,0,2.1637781646438716,True,0.5833333333333334,True,0.08333333333333333,True,0.2916666666666667,0.7916666666666666,0.2916666666666667,0.2916666666666667,0.75,True,0.16666666666666666,True,0.4166666666666667,0.9166666666666666,0.4166666666666667,0.4166666666666667,0.9166666666666666,True,0.4583333333333333,True,0.75,1.0,0.75,0.75,1.0,True,0.875,True,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,-0.34521739130434775,-0.21739130434782608
timm:efficientnet_b0.ra_in1k_random,blocks.1.1.conv_pwl,11,144,24,1,144,24,307200,2133.3333333333335,0.9171248326752699,2.251981106378123,0.5012164192815267,24,0,2.251981106378123,True,0.7916666666666666,True,0.125,True,0.375,0.7916666666666666,0.9166666666666666,0.4166666666666667,0.875,True,0.20833333333333334,True,0.5416666666666666,0.9166666666666666,1.0,0.5833333333333334,1.0,True,0.5833333333333334,True,0.8333333333333334,1.0,1.0,0.875,1.0,True,0.9583333333333334,True,1.0,1.0,1.0,1.0,0.1217391304347826,0.1048629531388152
timm:efficientnet_b0.ra_in1k_random,blocks.2.0.conv_pw,12,24,144,1,24,24,307200,12800.0,0.9140953223359732,2.291167389443104,0.2758442428102639,24,0,2.291167389443104,True,0.7083333333333334,True,0.08333333333333333,True,0.2916666666666667,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.8333333333333334,True,0.16666666666666666,True,0.4583333333333333,0.9166666666666666,0.5,0.5,0.9583333333333334,True,0.5,True,0.7916666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,True,0.875,True,0.9583333333333334,1.0,1.0,1.0,0.248695652173913,-0.10434782608695652
timm:efficientnet_b0.ra_in1k_random,blocks.2.0.conv_pwl,15,144,40,1,144,40,307200,2133.3333333333335,0.867281471637461,3.2233102815474535,0.36263048005936893,40,0,3.2233102815474535,True,0.875,True,0.025,True,0.35,0.75,0.725,0.4,0.95,True,0.075,True,0.525,0.875,1.0,0.6,1.0,True,0.4,True,0.825,0.975,1.0,0.875,1.0,True,0.875,True,0.975,1.0,1.0,1.0,-0.06060037523452158,-0.13470380194518128
timm:efficientnet_b0.ra_in1k_random,blocks.2.1.conv_pw,16,40,240,1,40,40,307200,7680.0,0.921041133301064,2.241670263421523,0.19484390088664102,40,0,2.241670263421523,True,0.7,True,0.05,True,0.325,0.8,0.35,0.35,0.825,True,0.15,True,0.475,0.9,0.525,0.525,0.95,True,0.525,True,0.8,0.975,0.825,0.825,1.0,True,0.9,True,0.975,1.0,0.975,0.975,0.028705440900562852,0.06491557223264542
timm:efficientnet_b0.ra_in1k_random,blocks.2.1.conv_pwl,19,240,40,1,240,40,307200,1280.0,0.9238834682405159,2.255129964398211,0.42407229336663227,40,0,2.255129964398211,True,0.875,True,0.15,True,0.525,0.8,1.0,0.575,0.95,True,0.325,True,0.7,0.9,1.0,0.75,1.0,True,0.75,True,0.925,0.975,1.0,0.95,1.0,True,0.975,True,1.0,1.0,1.0,1.0,-0.06941838649155724,-0.09013958575669714
