layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,102400,8.509209870563724,1.3020942544100942,0.04069044545031544,1.7617100111560926,0.055053437848627894,1.1454885491355336,0.035796517160485423,11.394547333807306,10,32,0.8297012411339241,29,2,3,6,12,0.0625,0.09375,0.1875,0.375,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],3200.0,True,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.84375,6400.0,2.3108672949960893,1.3588014318123909,0.042462544744137215,1.6461362291058506,0.05144175715955783,1.1785532793825715,0.03682978998070536,10.757709187024926,10.0,32.0,0.9548352843566918,25.0,2.0,2.0,3.0,3.0,0.0625,0.0625,0.09375,0.09375,200.0,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,102400,2.4674263289351477,1.605798781726115,0.050181211928941094,2.430154141073686,0.07594231690855269,1.282383280146179,0.04007447750456809,4.144834332499738,10,32,0.9550514471369158,32,3,4,9,20,0.09375,0.125,0.28125,0.625,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],3200.0,True,,,,,,6400.0,0.6597306719990822,1.658737384831577,0.05183554327598678,2.2563930488793686,0.07051228277748027,1.3123649352432216,0.041011404226350676,5.579125179443335,10.0,32.0,0.9845202087889079,32.0,3.0,3.0,4.0,7.0,0.09375,0.09375,0.125,0.21875,200.0,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,102400,3.3536707811168283,1.662971105849382,0.051967847057793184,2.92206370641385,0.09131449082543282,1.298470023828556,0.040577188244642376,2.4419913705786938,10,32,0.9701706339292506,32,4,7,18,29,0.125,0.21875,0.5625,0.90625,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],3200.0,True,0.125,0.21875,0.5625,0.90625,1.0,6400.0,0.843617812061549,1.415839788977476,0.04424499340554613,1.8683426859864871,0.05838570893707772,1.200781719570426,0.03752442873657581,6.006895555965158,10.0,32.0,0.9879263101571809,32.0,2.0,3.0,4.0,7.0,0.0625,0.09375,0.125,0.21875,200.0,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,102400,1.4277087479051644,1.5213370217116648,0.04754178192848953,2.480110116915941,0.07750344115362316,1.2402855981345426,0.03875892494170446,2.424819174104788,10,32,0.9600483864267246,32,3,5,15,28,0.09375,0.15625,0.46875,0.875,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],3200.0,True,,,,,,6400.0,0.36959040213522887,1.370411443094909,0.04282535759671591,1.826034082220413,0.05706356506938791,1.1779478496270186,0.03681087030084433,5.824263871606251,10.0,32.0,0.9669956986393603,32.0,2.0,3.0,5.0,8.0,0.0625,0.09375,0.15625,0.25,200.0,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,6400,1.0634015167106492,1.1310598987593998,0.14138248734492498,1.3313748821527644,0.16642186026909556,1.064572859710194,0.13307160746377425,,10,8,,8,1,2,3,5,0.125,0.25,0.375,0.625,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,0.125,0.25,0.375,0.625,1.0,6400.0,1.0634015167106492,1.1310598987593998,0.14138248734492498,1.3313748821527644,0.16642186026909556,1.064572859710194,0.13307160746377425,,10.0,8.0,,8.0,1.0,2.0,3.0,5.0,0.125,0.25,0.375,0.625,800.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,6400,0.322698472310943,1.3327766977306033,0.1665970872163254,1.6529546227301788,0.20661932784127235,1.1652147443575358,0.14565184304469198,,10,8,,8,2,2,4,6,0.25,0.25,0.5,0.75,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],800.0,True,,,,,,6400.0,0.322698472310943,1.3327766977306033,0.1665970872163254,1.6529546227301788,0.20661932784127235,1.1652147443575358,0.14565184304469198,,10.0,8.0,,8.0,2.0,2.0,4.0,6.0,0.25,0.25,0.5,0.75,800.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,6400,0.7688900103209863,1.3025164794059814,0.04070363998143692,1.5794357318227146,0.04935736661945983,1.1512483391335209,0.03597651059792253,5.191560112540398,10,32,0.8492648981796017,20,2,2,3,5,0.0625,0.0625,0.09375,0.15625,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],200.0,True,0.25,0.25,0.375,0.625,0.25,6400.0,0.7688900103209863,1.3025164794059814,0.04070363998143692,1.5794357318227146,0.04935736661945983,1.1512483391335209,0.03597651059792253,5.191560112540398,10.0,32.0,0.8492648981796017,20.0,2.0,2.0,3.0,5.0,0.0625,0.0625,0.09375,0.15625,200.0,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,102400,0.7200715521528206,1.3664612366287043,0.08540382728929402,1.9481323505881936,0.1217582719117621,1.1740823104657185,0.07338014440410741,,10,16,,16,2,3,8,13,0.125,0.1875,0.5,0.8125,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],6400.0,True,0.125,0.1875,0.5,0.8125,1.0,6400.0,0.19995856066974935,1.3352068346133474,0.08345042716333421,1.7189134766218255,0.10743209228886409,1.1630303874980414,0.07268939921862759,,10.0,16.0,,16.0,2.0,2.0,4.0,7.0,0.125,0.125,0.25,0.4375,400.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,102400,0.7130213465628761,1.3701600557909321,0.08563500348693326,1.955631471148276,0.12222696694676725,1.1757767355183597,0.07348604596989748,,10,16,,16,2,3,8,13,0.125,0.1875,0.5,0.8125,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],6400.0,True,,,,,,6400.0,0.199956557725354,1.3352068369922625,0.0834504273120164,1.7189134987798804,0.10743209367374253,1.1630303885035123,0.07268939928146952,,10.0,16.0,,16.0,2.0,2.0,4.0,7.0,0.125,0.125,0.25,0.4375,400.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,102400,1.7470389056222395,1.282479307700705,0.013359159455215678,1.7516069552770337,0.018245905784135766,1.1354914517167705,0.011828035955383025,9.952347375163809,10,96,0.8083078222138936,54,2,3,7,13,0.020833333333333332,0.03125,0.07291666666666667,0.13541666666666666,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,0.125,0.1875,0.4375,0.8125,0.16666666666666666,6400.0,0.4934604210966099,1.2614295078049242,0.013139890706301295,1.5892710106725505,0.016554906361172402,1.1276079058069837,0.011745915685489413,8.343122900872073,10.0,96.0,0.8380150814760701,54.0,2.0,2.0,4.0,6.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0625,66.66666666666667,True
blocks.1.0.bn1.act,act,10,96,1,False,,0,112.0,112.0,102400,0.517358946619634,1.2505275357017998,0.013026328496893747,1.695782325935923,0.0176643992284992,1.1204652763214447,0.011671513295015049,5.271415830191488,10,96,0.9851407052596994,96,2,3,7,15,0.020833333333333332,0.03125,0.07291666666666667,0.15625,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,0.14570677917234545,1.2267159299676793,0.012778290937163326,1.5361780373503264,0.016001854555732567,1.1106481614381967,0.011569251681647881,6.275211279857138,10.0,96.0,0.9880055480003933,92.0,1.0,2.0,4.0,7.0,0.010416666666666666,0.020833333333333332,0.041666666666666664,0.07291666666666667,66.66666666666667,True
blocks.1.0.conv_dw,conv,11,96,96,True,96.0,0,56.0,56.0,102400,0.9203861476338272,1.44978697844695,0.015101947692155728,2.379550556890822,0.024786984967612728,1.2085112513130833,0.012588658867844618,2.7817014911560993,10,96,0.9246432014956717,96,3,5,22,57,0.03125,0.052083333333333336,0.22916666666666666,0.59375,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,0.03125,0.052083333333333336,0.22916666666666666,0.59375,1.0,6400.0,0.2542067405692412,1.2523887008249375,0.0130457156335931,1.559329255042769,0.016243013073362178,1.1236641982759077,0.011704835398707371,4.730628596452018,10.0,96.0,0.9853670083735663,96.0,2.0,2.0,3.0,7.0,0.020833333333333332,0.020833333333333332,0.03125,0.07291666666666667,66.66666666666667,True
blocks.1.0.bn2.act,act,12,96,1,False,,0,56.0,56.0,102400,0.26075110063355056,1.4617430242209721,0.015226489835635126,2.413930705511882,0.02514511151574877,1.2135337980230663,0.012640977062740274,2.758818244511834,10,96,0.9315937747697325,96,3,5,21,57,0.03125,0.052083333333333336,0.21875,0.59375,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,0.07087674490881479,1.2902391683797712,0.013439991337289283,1.647653630016776,0.017163058646008082,1.1410244519462667,0.011885671374440278,4.66617053538141,10.0,96.0,0.9881443970633027,96.0,2.0,3.0,4.0,8.0,0.020833333333333332,0.03125,0.041666666666666664,0.08333333333333333,66.66666666666667,True
blocks.1.0.se.conv_reduce,conv_gap,13,4,1,False,4.0,0,1.0,1.0,6400,0.17380567252512788,1.2629545499955512,0.3157386374988878,1.5825451045207228,0.3956362761301807,1.127741689298119,0.2819354223245297,,10,4,,4,2,3,4,4,0.5,0.75,1.0,1.0,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,0.5,0.75,1.0,1.0,1.0,6400.0,0.17380567252512788,1.2629545499955512,0.3157386374988878,1.5825451045207228,0.3956362761301807,1.127741689298119,0.2819354223245297,,10.0,4.0,,4.0,2.0,3.0,4.0,4.0,0.5,0.75,1.0,1.0,1600.0,True
blocks.1.0.se.act1,act,14,4,1,False,,0,1.0,1.0,6400,0.08609504891702209,1.1425101203926402,0.28562753009816005,1.3571521400033806,0.33928803500084515,1.0699485012856855,0.2674871253214214,,10,4,,4,1,2,3,4,0.25,0.5,0.75,1.0,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1600.0,True,,,,,,6400.0,0.08609504891702209,1.1425101203926402,0.28562753009816005,1.3571521400033806,0.33928803500084515,1.0699485012856855,0.2674871253214214,,10.0,4.0,,4.0,1.0,2.0,3.0,4.0,0.25,0.5,0.75,1.0,1600.0,True
blocks.1.0.se.conv_expand,conv_gap,15,96,1,False,4.0,0,1.0,1.0,6400,0.16473892607173163,1.1416461255365187,0.011892147141005402,1.3558476081185147,0.014123412584567861,1.0695197703433497,0.01114083094107656,3.1922407924932856,10,96,0.8424807715675613,49,1,2,3,4,0.010416666666666666,0.020833333333333332,0.03125,0.041666666666666664,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],66.66666666666667,True,0.25,0.5,0.75,1.0,0.041666666666666664,6400.0,0.16473892607173163,1.1416461255365187,0.011892147141005402,1.3558476081185147,0.014123412584567861,1.0695197703433497,0.01114083094107656,3.1922407924932856,10.0,96.0,0.8424807715675613,49.0,1.0,2.0,3.0,4.0,0.010416666666666666,0.020833333333333332,0.03125,0.041666666666666664,66.66666666666667,True
blocks.1.0.conv_pwl,conv,16,24,1,False,24.0,0,56.0,56.0,102400,0.0899601209580858,1.5984270370749474,0.06660112654478947,2.618091643536913,0.10908715181403804,1.273016778042948,0.0530423657517895,2.6250169680301703,10,24,0.9597042088839747,24,4,5,13,22,0.16666666666666666,0.20833333333333334,0.5416666666666666,0.9166666666666666,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],4266.666666666667,True,0.16666666666666666,0.20833333333333334,0.5416666666666666,0.9166666666666666,1.0,6400.0,0.02217815420961935,1.3723154572798089,0.057179810719992036,1.7963323673594922,0.07484718197331218,1.180077797670822,0.049169908236284254,5.2401856117723185,10.0,24.0,0.9794993993658332,24.0,2.0,3.0,4.0,8.0,0.08333333333333333,0.125,0.16666666666666666,0.3333333333333333,266.6666666666667,True
blocks.1.0,block,17,24,1,False,,0,56.0,56.0,102400,0.08980000152542837,1.5956504498988162,0.06648543541245068,2.61181681955692,0.10882570081487165,1.2718216948056855,0.052992570616903566,2.6192402856144414,10,24,0.9593901899332279,24,4,5,13,22,0.16666666666666666,0.20833333333333334,0.5416666666666666,0.9166666666666666,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,0.0221779319455973,1.372315439796442,0.05717980999151842,1.7963322634713388,0.07484717764463912,1.1800777900485573,0.04916990791868989,5.240081071957668,10.0,24.0,0.9795063319647773,24.0,2.0,3.0,4.0,8.0,0.08333333333333333,0.125,0.16666666666666666,0.3333333333333333,266.6666666666667,True
blocks.1.1.conv_pw,conv,18,144,1,False,24.0,0,56.0,56.0,102400,0.16874876823831847,1.6663507491569027,0.011571880202478492,2.745822123659731,0.019068209192081464,1.3022470978994987,0.009043382624302074,9.696335780406443,10,144,0.8324165434459181,83,4,5,13,21,0.027777777777777776,0.034722222222222224,0.09027777777777778,0.14583333333333334,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,0.16666666666666666,0.20833333333333334,0.5416666666666666,0.875,0.16666666666666666,6400.0,0.04077813502685418,1.43874113010055,0.009991257847920485,1.9036798846982446,0.013219999199293364,1.211507366680493,0.008413245601947868,7.9396405968099035,10.0,144.0,0.8792782157871055,84.0,2.0,3.0,4.0,8.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.05555555555555555,44.44444444444444,False
blocks.1.1.bn1.act,act,19,144,1,False,,0,56.0,56.0,102400,0.0410503325375242,1.696708839608658,0.011782700275060126,2.817461916221503,0.019565707751538215,1.315031498882273,0.009132163186682453,5.270054935737523,10,144,0.9793499180207917,144,4,5,13,22,0.027777777777777776,0.034722222222222224,0.09027777777777778,0.1527777777777778,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,,,,,,6400.0,0.01008002482186179,1.451564634552214,0.010080309962168153,1.926470465949417,0.013378267124648728,1.2174155099751516,0.008454274374827441,5.902823845200795,10.0,144.0,0.9747410288920109,130.0,2.0,3.0,4.0,8.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.05555555555555555,44.44444444444444,False
blocks.1.1.conv_dw,conv,20,144,144,True,144.0,0,56.0,56.0,102400,0.10001130349472932,1.9058288537221149,0.013234922595292464,4.0070137689053205,0.02782648450628695,1.3929029805998505,0.009672937365276739,2.693380546290039,10,144,0.9154951923448,144,6,13,45,95,0.041666666666666664,0.09027777777777778,0.3125,0.6597222222222222,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,0.041666666666666664,0.09027777777777778,0.3125,0.6597222222222222,1.0,6400.0,0.024826595337504486,1.4361098008273399,0.009972984727967638,1.890988742168771,0.01313186626506091,1.210929712336513,0.008409234113448008,5.302960352160302,10.0,144.0,0.9852709500979561,144.0,2.0,3.0,4.0,8.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.05555555555555555,44.44444444444444,False
blocks.1.1.bn2.act,act,21,144,1,False,,0,56.0,56.0,102400,0.02770231765154371,1.8233983592179717,0.01266248860568036,3.7346625574461148,0.025935156648931354,1.3608544308762125,0.00945037799219592,2.6760909536076247,10,144,0.9184311553761346,144,5,11,43,94,0.034722222222222224,0.0763888888888889,0.2986111111111111,0.6527777777777778,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,,,,,,6400.0,0.006785815034726332,1.408573977188131,0.009781763730473132,1.8490361018886612,0.012840528485337925,1.1977330370624628,0.008317590535155992,5.036933005304553,10.0,144.0,0.9862601861465354,144.0,2.0,3.0,4.0,9.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.0625,44.44444444444444,False
blocks.1.1.se.conv_reduce,conv_gap,22,6,1,False,6.0,0,1.0,1.0,6400,0.006145208151798404,1.5742797825087638,0.2623799637514606,2.0686156739468693,0.3447692789911449,1.2773445473379337,0.2128907578896556,,10,6,,6,2,3,4,6,0.3333333333333333,0.5,0.6666666666666666,1.0,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,6400.0,0.006145208151798404,1.5742797825087638,0.2623799637514606,2.0686156739468693,0.3447692789911449,1.2773445473379337,0.2128907578896556,,10.0,6.0,,6.0,2.0,3.0,4.0,6.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1066.6666666666667,True
blocks.1.1.se.act1,act,23,6,1,False,,0,1.0,1.0,6400,0.0016485955251348845,1.5661635444221282,0.26102725740368804,2.059442045413143,0.34324034090219047,1.2734184430691065,0.2122364071781844,,10,6,,6,2,3,4,6,0.3333333333333333,0.5,0.6666666666666666,1.0,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,0.0016485955251348845,1.5661635444221282,0.26102725740368804,2.059442045413143,0.34324034090219047,1.2734184430691065,0.2122364071781844,,10.0,6.0,,6.0,2.0,3.0,4.0,6.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1066.6666666666667,True
blocks.1.1.se.conv_expand,conv_gap,24,144,1,False,6.0,0,1.0,1.0,6400,0.0030918050595352994,1.6497869801277443,0.01145685402866489,2.1559620468051706,0.01497195865836924,1.3156309440454235,0.00913632600031544,2.3291266242913413,10,144,0.7754356875278329,73,2,3,4,6,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.041666666666666664,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],44.44444444444444,False,0.3333333333333333,0.5,0.6666666666666666,1.0,0.041666666666666664,6400.0,0.0030918050595352994,1.6497869801277443,0.01145685402866489,2.1559620468051706,0.01497195865836924,1.3156309440454235,0.00913632600031544,2.3291266242913413,10.0,144.0,0.7754356875278329,73.0,2.0,3.0,4.0,6.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.041666666666666664,44.44444444444444,False
blocks.1.1.conv_pwl,conv,25,24,1,False,24.0,0,56.0,56.0,102400,0.015791428891524625,1.7249848201117128,0.0718743675046547,2.91067986480161,0.12127832770006708,1.327579469681612,0.055315811236733826,2.6051131807750636,10,24,0.9572983389180217,24,3,6,15,22,0.125,0.25,0.625,0.9166666666666666,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],4266.666666666667,True,0.125,0.25,0.625,0.9166666666666666,1.0,6400.0,0.004137491416743573,1.4265601310636546,0.05944000546098561,1.8464133775226952,0.0769338907301123,1.2069140321841907,0.05028808467434128,5.2294117798403335,10.0,24.0,0.9775032680378717,24.0,2.0,3.0,3.0,7.0,0.08333333333333333,0.125,0.125,0.2916666666666667,266.6666666666667,True
blocks.1.1,block,26,24,1,False,,0,56.0,56.0,102400,0.09087231603594673,1.69866275333845,0.07077761472243542,2.9332874873899732,0.12222031197458222,1.3139148160195477,0.054746450667481156,2.3800320596910245,10,24,0.9536805196782849,24,4,6,16,23,0.16666666666666666,0.25,0.6666666666666666,0.9583333333333334,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],4266.666666666667,True,,,,,,6400.0,0.02188990332755243,1.4112133647673522,0.05880055686530634,1.8592642913142696,0.0774693454714279,1.1992298030148458,0.04996790845895191,5.1772663406848425,10.0,24.0,0.9694510674142213,24.0,2.0,3.0,4.0,8.0,0.08333333333333333,0.125,0.16666666666666666,0.3333333333333333,266.6666666666667,True
blocks.2.0.conv_pw,conv,27,144,1,False,24.0,0,56.0,56.0,102400,0.16009857678505043,1.8076270910311096,0.012552965909938261,3.156570743041028,0.02192063016000714,1.3600965317162321,0.009445114803584946,10.39490553167006,10,144,0.834410629640476,81,4,7,15,23,0.027777777777777776,0.04861111111111111,0.10416666666666667,0.1597222222222222,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,0.16666666666666666,0.2916666666666667,0.625,0.9583333333333334,0.16666666666666666,6400.0,0.038075051791644415,1.4869827183298117,0.010326268877290358,1.9725799528377554,0.013698471894706635,1.236185261231243,0.008584619869661409,8.141239839337546,10.0,144.0,0.8763613948846047,83.0,2.0,3.0,4.0,8.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.05555555555555555,44.44444444444444,False
blocks.2.0.bn1.act,act,28,144,1,False,,0,56.0,56.0,102400,0.040418605962087836,1.8026785574110633,0.012518601093132384,3.150818261016119,0.021880682368167495,1.3581167487324957,0.009431366310642331,5.131889365573076,10,144,0.9717751551552414,144,4,7,15,23,0.027777777777777776,0.04861111111111111,0.10416666666666667,0.1597222222222222,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,,,,,,6400.0,0.009648799530978282,1.4789812299089675,0.010270702985478941,1.962791684637892,0.013630497809985362,1.2321874114866462,0.00855685702421282,5.666903128738408,10.0,144.0,0.9918808907913164,135.0,2.0,3.0,4.0,8.0,0.013888888888888888,0.020833333333333332,0.027777777777777776,0.05555555555555555,44.44444444444444,False
blocks.2.0.conv_dw,conv,29,144,144,True,144.0,0,28.0,28.0,102400,0.0696436886246664,3.0875860275319464,0.021441569635638518,8.635592555066399,0.05996939274351666,1.798655887422745,0.012490665884880174,1.897793330649785,10,144,0.9666320112781873,144,16,34,85,130,0.1111111111111111,0.2361111111111111,0.5902777777777778,0.9027777777777778,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,0.1111111111111111,0.2361111111111111,0.5902777777777778,0.9027777777777778,1.0,6400.0,0.015063598572716512,1.486575433337744,0.010323440509289888,2.0060865389718727,0.013931156520638005,1.2349651387778173,0.008576146797068175,3.6811332578821485,10.0,144.0,0.9797623113184416,144.0,2.0,3.0,5.0,14.0,0.013888888888888888,0.020833333333333332,0.034722222222222224,0.09722222222222222,44.44444444444444,False
blocks.2.0.bn2.act,act,30,144,1,False,,0,28.0,28.0,102400,0.01608484994814249,3.386784706119581,0.023519338236941537,9.584366370480906,0.06655809979500629,1.8935222067954256,0.013149459769412678,1.8910460814124093,10,144,0.9662132470890985,144,18,36,87,131,0.125,0.25,0.6041666666666666,0.9097222222222222,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],711.1111111111111,True,,,,,,6400.0,0.003415102523302134,1.5395683692747044,0.010691447008852113,2.0925282946730626,0.014531446490785157,1.2603662401274798,0.00875254333421861,3.599854564893965,10.0,144.0,0.9813391582797281,144.0,2.0,3.0,5.0,15.0,0.013888888888888888,0.020833333333333332,0.034722222222222224,0.10416666666666667,44.44444444444444,False
blocks.2.0.se.conv_reduce,conv_gap,31,6,1,False,6.0,0,1.0,1.0,6400,0.004185223798202915,1.8266658325069012,0.30444430541781686,2.272117502980745,0.3786862504967909,1.4331055484383777,0.2388509247397296,,10,6,,6,2,3,4,6,0.3333333333333333,0.5,0.6666666666666666,1.0,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,6400.0,0.004185223798202915,1.8266658325069012,0.30444430541781686,2.272117502980745,0.3786862504967909,1.4331055484383777,0.2388509247397296,,10.0,6.0,,6.0,2.0,3.0,4.0,6.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1066.6666666666667,True
blocks.2.0.se.act1,act,32,6,1,False,,0,1.0,1.0,6400,0.001064623009150568,1.842949068239582,0.30715817803993034,2.279097688505944,0.37984961475099066,1.4454411114197363,0.2409068519032894,,10,6,,6,2,3,4,6,0.3333333333333333,0.5,0.6666666666666666,1.0,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],1066.6666666666667,True,,,,,,6400.0,0.001064623009150568,1.842949068239582,0.30715817803993034,2.279097688505944,0.37984961475099066,1.4454411114197363,0.2409068519032894,,10.0,6.0,,6.0,2.0,3.0,4.0,6.0,0.3333333333333333,0.5,0.6666666666666666,1.0,1066.6666666666667,True
blocks.2.0.se.conv_expand,conv_gap,33,144,1,False,6.0,0,1.0,1.0,6400,0.0024199237656692477,1.8656326578568203,0.012955782346227919,2.2537634957171457,0.015651135386924624,1.4734252374200814,0.01023211970430612,2.472874812147761,10,144,0.6960116731190309,75,2,2,4,6,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.041666666666666664,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],44.44444444444444,False,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.041666666666666664,6400.0,0.0024199237656692477,1.8656326578568203,0.012955782346227919,2.2537634957171457,0.015651135386924624,1.4734252374200814,0.01023211970430612,2.472874812147761,10.0,144.0,0.6960116731190309,75.0,2.0,2.0,4.0,6.0,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.041666666666666664,44.44444444444444,False
blocks.2.0.conv_pwl,conv,34,40,1,False,40.0,0,28.0,28.0,102400,0.007248241846459799,4.5987089533362235,0.11496772383340559,9.362577261220745,0.23406443153051862,2.334716260520984,0.058367906513024606,2.246164616803812,10,40,0.9661487361585205,40,12,18,31,39,0.3,0.45,0.775,0.975,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],2560.0,True,0.3,0.45,0.775,0.975,1.0,6400.0,0.0014132368620326,2.026963045087466,0.05067407612718665,2.6554470333653364,0.0663861758341334,1.5149658741076997,0.03787414685269249,3.8903294257240493,10.0,40.0,0.9841980169484356,40.0,3.0,3.0,6.0,13.0,0.075,0.075,0.15,0.325,160.0,True
blocks.2.0,block,35,40,1,False,,0,28.0,28.0,102400,0.007235967727482764,4.605956708692201,0.11514891771730502,9.374896214097221,0.23437240535243054,2.3374447153693296,0.05843611788423324,2.240266035747376,10,40,0.9654168453400924,40,12,18,31,39,0.3,0.45,0.775,0.975,timm:efficientnet_b0.ra_in1k_random,random_init(seed=1),imagenet_val[6400],2560.0,True,,,,,,6400.0,0.001413222713116379,2.026963057462152,0.050674076436553805,2.6554471218940456,0.06638617804735114,1.5149658786816236,0.03787414696704059,3.8902861691994115,10.0,40.0,0.9842004666775641,40.0,3.0,3.0,6.0,13.0,0.075,0.075,0.15,0.325,160.0,True
